"opera","period","DDDD","DDDS","DDSD","DDSS","DSDD","DSDS","DSSD","DSSS","SDDD","SDDS","SDSD","SDSS","SSDD","SSDS","SSSD","SSSS"
"Ovid. Am. I","1",0.0773,0.0722,0.0876,0.0928,0.067,0.1237,0.1237,0.1314,0.018,0.0438,0.0412,0.0412,0.0155,0.0206,0.018,0.0258
"Ovid. Am. II","1",0.0691,0.0568,0.116,0.1753,0.0691,0.1037,0.1185,0.1185,0.0173,0.0148,0.0296,0.0444,0.0099,0.0247,0.0198,0.0123
"Ovid. Am. III","1",0.0562,0.0733,0.1198,0.1247,0.0636,0.0782,0.1051,0.1443,0.0122,0.0636,0.0293,0.0538,0.0171,0.0244,0.022,0.0122
"Ovid. Ars I","1",0.0656,0.0919,0.1129,0.0945,0.0682,0.1391,0.1024,0.1155,0.0236,0.0341,0.0394,0.042,0.0052,0.0236,0.0184,0.0236
"Ovid. Ars II","1",0.0676,0.0919,0.1,0.1216,0.0946,0.1351,0.1108,0.1351,0.0162,0.0297,0.0243,0.0216,0.0135,0.0216,0.0054,0.0108
"Ovid. Ars III","1",0.0569,0.099,0.0965,0.1584,0.0644,0.0941,0.1213,0.1312,0.0248,0.0347,0.0248,0.0322,0.0173,0.0124,0.0124,0.0198
"Ovid. Fast. I","2",0.0359,0.0608,0.0967,0.1547,0.0801,0.1215,0.1796,0.163,0.0138,0.0138,0.011,0.0304,0.0083,0.0055,0.0083,0.0166
"Ovid. Fast. II","2",0.0579,0.0694,0.125,0.125,0.0856,0.1343,0.1412,0.1597,0.0069,0.0139,0.0208,0.0208,0.0162,0.0093,0.0046,0.0093
"Ovid. Fast. III","2",0.0523,0.0818,0.1,0.1341,0.1068,0.1045,0.125,0.175,0.0045,0.0182,0.0295,0.0295,0.0091,0.0068,0.0114,0.0114
"Ovid. Fast. IV","2",0.0714,0.0798,0.1282,0.0987,0.0735,0.1324,0.1408,0.1639,0.0105,0.0168,0.0231,0.0273,0.0084,0.0084,0.0063,0.0105
"Ovid. Fast. V","2",0.0493,0.0767,0.1233,0.1397,0.0712,0.1205,0.1726,0.1562,0.0055,0.0082,0.0247,0.0192,0.0027,0.0137,0.0082,0.0082
"Ovid. Fast. VI","2",0.069,0.0714,0.1133,0.1034,0.0911,0.1305,0.1404,0.1576,0.0074,0.0148,0.0172,0.0394,0.0049,0.0148,0.0074,0.0172
"Ovid. Her. I-V","1",0.0838,0.073,0.1595,0.0784,0.1027,0.1189,0.1324,0.0838,0.0135,0.0216,0.0459,0.0324,0.0189,0.0135,0.0054,0.0162
"Ovid. Her. VI-X","1",0.0682,0.0682,0.1364,0.1086,0.0682,0.0808,0.1641,0.1237,0.0202,0.0227,0.048,0.0253,0.0126,0.0227,0.0126,0.0177
"Ovid. Her. XI-XV","1",0.0729,0.0918,0.1388,0.08,0.0776,0.1059,0.1224,0.1153,0.0165,0.0447,0.0518,0.0259,0.0094,0.0094,0.0282,0.0094
"Ovid. Her. XVI-XXI",NA,0.0627,0.0639,0.1074,0.1279,0.0818,0.0959,0.1637,0.1586,0.0115,0.0128,0.0396,0.0192,0.0141,0.0115,0.0115,0.0179
"Ovid. Ibis","3",0.0498,0.0717,0.1651,0.1153,0.0685,0.1059,0.1402,0.1277,0.0156,0.028,0.0187,0.0374,0,0.0125,0.028,0.0156
"Ovid. Pont. I","3",0.0654,0.0785,0.123,0.1283,0.0681,0.1073,0.144,0.1466,0.0079,0.0288,0.0105,0.0419,0.0026,0.0105,0.0183,0.0183
"Ovid. Pont. II","3",0.0504,0.0716,0.1088,0.1406,0.0663,0.1167,0.13,0.1645,0.0106,0.0159,0.0345,0.0265,0.0212,0.0106,0.0239,0.008
"Ovid. Pont. III","3",0.0436,0.0817,0.109,0.158,0.0817,0.1172,0.1417,0.1526,0.0054,0.0163,0.0163,0.0218,0.0136,0.0218,0.0082,0.0109
"Ovid. Pont. IV","3",0.0216,0.0821,0.1253,0.1533,0.0518,0.108,0.1339,0.1577,0.0065,0.0151,0.0454,0.0281,0.0173,0.0151,0.0151,0.0238
"Ovid. Rem","1",0.0667,0.0765,0.1086,0.1481,0.0642,0.1012,0.0963,0.158,0.0247,0.0173,0.0247,0.0543,0.0148,0.0198,0.0173,0.0074
"Ovid. Trist. I","3",0.0575,0.0658,0.1233,0.1342,0.0712,0.1041,0.1863,0.1068,0.0219,0.0082,0.0384,0.0329,0.0055,0.0055,0.011,0.0274
"Ovid. Trist. II","3",0.0554,0.0727,0.1003,0.1246,0.0865,0.1073,0.1592,0.1592,0.0208,0.0173,0.0242,0.0173,0.0104,0.0104,0.0173,0.0173
"Ovid. Trist. III","3",0.0482,0.0812,0.1142,0.1091,0.0609,0.1091,0.1726,0.1574,0.0025,0.0254,0.033,0.0381,0.0025,0.0127,0.0152,0.0178
"Ovid. Trist. IV","3",0.059,0.0855,0.1327,0.118,0.0619,0.0885,0.174,0.1504,0.0206,0.0147,0.0118,0.0383,0.0059,0.0059,0.0177,0.0147
"Ovid. Trist. V","3",0.0267,0.0747,0.1253,0.1147,0.0853,0.136,0.1627,0.1573,0.0053,0.0107,0.0267,0.024,0.0027,0.0107,0.0187,0.0187
